the_geom,BoroCode,BoroName,specific_borough,Amount_of_Racks
POINT (-73.92162143925778 40.86831514423861),1,Manhattan,1,8652
POINT (-73.96926040273163 40.68045220328082),3,Brooklyn,2,5478
POINT (-73.85014762604226 40.73396678722509),4,Queens,3,31506
POINT (-73.8500865323254 40.73385691761056),4,Queens,4,22928
POINT (-73.99609988993079 40.72623892499076),1,Manhattan,5,2620
POINT (-73.97973525315159 40.688441810980635),3,Brooklyn,,
POINT (-73.97973525315159 40.688441810980635),3,Brooklyn,,
POINT (-73.97973525315159 40.688441810980635),3,Brooklyn,,
POINT (-73.97973525315159 40.688441810980635),3,Brooklyn,,
POINT (-73.88675369135288 40.674567930577204),3,Brooklyn,,
POINT (-73.94122769825954 40.72221938923986),3,Brooklyn,,
POINT (-73.96869185338097 40.678102523963744),3,Brooklyn,,
POINT (-73.8500290532557 40.73374430701611),4,Queens,,
POINT (-73.84987446555975 40.73349158835294),4,Queens,,
POINT (-73.85001109224402 40.73370860184094),4,Queens,,
POINT (-73.89957295064126 40.710747676877475),4,Queens,,
POINT (-73.89957295064126 40.710747676877475),4,Queens,,
POINT (-73.99606741866185 40.72624715814028),1,Manhattan,,
POINT (-73.94801275248417 40.714180505125135),3,Brooklyn,,
POINT (-73.79148942027734 40.85558811041651),2,Bronx,,
POINT (-73.97231175848903 40.677581945084405),3,Brooklyn,,
POINT (-73.94987707928443 40.6766109423982),3,Brooklyn,,
POINT (-73.94801275248417 40.714180505125135),3,Brooklyn,,
POINT (-73.99606741866185 40.72624715814028),1,Manhattan,,
POINT (-73.99606741866185 40.72624715814028),1,Manhattan,,
POINT (-73.99606741866185 40.72624715814028),1,Manhattan,,
POINT (-73.87509294178945 40.71986652591631),4,Queens,,
POINT (-73.87509294178945 40.71986652591631),4,Queens,,
POINT (-73.87509294178945 40.71986652591631),4,Queens,,
POINT (-73.87509294178945 40.71986652591631),4,Queens,,
POINT (-73.96384986622712 40.67830970696428),3,Brooklyn,,
POINT (-73.99134751964037 40.76021044000895),1,Manhattan,,
POINT (-73.96871351327202 40.67804214494776),3,Brooklyn,,
POINT (-73.96871351327202 40.67804214494776),3,Brooklyn,,
POINT (-73.8622202618424 40.72907972619514),4,Queens,,
POINT (-73.84975591928581 40.73325812886955),4,Queens,,
POINT (-74.11050438757164 40.629808654382),5,Staten Island,,
